product_id,product_name,category,seller_id,list_price
P000,루미에르 베이직 반팔티,상의,S001,29000
P001,플리츠 미디 스커트,팬츠/스커트,S001,49000
P002,오버핏 데님 자켓,아우터,S002,89000
P003,리넨 와이드 팬츠,팬츠/스커트,S001,59000
P004,플로럴 원피스,원피스/세트,S002,79000
P005,크롭 가디건 세트,원피스/세트,S002,69000
P006,스트라이프 오버셔츠,상의,S001,45000
P007,솔리드 레깅스,트레이닝,S003,32000
P008,퀼팅 숄더백,가방,S002,120000
P009,통굽 로퍼,슈즈,S003,98000
P010,코튼 브라렛 세트,이너웨어/잠옷,S003,38000
P011,니트 터틀넥,상의,S001,55000
P012,와이드 데님 팬츠,팬츠/스커트,S002,65000
P013,패딩 숏 점퍼,아우터,S002,149000
P014,미니 크로스백,가방,S003,85000
